01.06.2020 13:49:41(01.06.2020 14:11:20 ~ 01.06.2020 15:49:41) > Undelivered Order. ShopID = 350. OrederID = 2451189. Weight = 3,968, Lat = 55,663513, Long = 37,517921, dist =0,68 km, arrivalTime =  2,05 min
01.06.2020 20:54:12(01.06.2020 21:02:27 ~ 01.06.2020 22:54:12) > Undelivered Order. ShopID = 414. OrederID = 2472953. Weight = 8,122, Lat = 55,685459, Long = 37,563774, dist =0,55 km, arrivalTime =  1,65 min
01.06.2020 14:31:18(01.06.2020 15:28:57 ~ 01.06.2020 16:31:18) > Undelivered Order. ShopID = 418. OrederID = 2453314. Weight = 8,274, Lat = 55,907795399616, Long = 37,3271599, dist =4,34 km, arrivalTime =  13,02 min
01.06.2020 14:45:34(01.06.2020 15:55:34 ~ 01.06.2020 16:45:34) > Undelivered Order. ShopID = 418. OrederID = 2453923. Weight = 14,995, Lat = 55,893597, Long = 37,374184, dist =1,58 km, arrivalTime =  4,74 min
01.06.2020 20:56:49(01.06.2020 21:07:40 ~ 01.06.2020 22:56:49) > Undelivered Order. ShopID = 597. OrederID = 2470609. Weight = 8,757, Lat = 55,6773536992303, Long = 37,5658278, dist =0,28 km, arrivalTime =  0,85 min
01.06.2020 10:56:27(01.06.2020 12:06:27 ~ 01.06.2020 12:56:27) > Undelivered Order. ShopID = 599. OrederID = 2439001. Weight = 6,998, Lat = 55,8424855901145, Long = 37,3454562123999, dist =0,74 km, arrivalTime =  2,21 min
01.06.2020 13:12:55(01.06.2020 14:22:55 ~ 01.06.2020 15:12:55) > Undelivered Order. ShopID = 599. OrederID = 2445576. Weight = 22,297, Lat = 55,847744, Long = 37,355915, dist =0,47 km, arrivalTime =  1,41 min
01.06.2020 14:05:28(01.06.2020 15:15:28 ~ 01.06.2020 16:05:28) > Undelivered Order. ShopID = 599. OrederID = 2452838. Weight = 6,588, Lat = 55,8453058, Long = 37,3465145, dist =0,37 km, arrivalTime =  1,12 min
01.06.2020 19:20:47(01.06.2020 20:24:02 ~ 01.06.2020 21:20:47) > Undelivered Order. ShopID = 599. OrederID = 2466655. Weight = 14,303, Lat = 55,8492552976949, Long = 37,3508874, dist =0,26 km, arrivalTime =  0,77 min
01.06.2020 20:15:23(01.06.2020 20:33:25 ~ 01.06.2020 22:15:23) > Undelivered Order. ShopID = 599. OrederID = 2472091. Weight = 2,248, Lat = 55,8592579, Long = 37,3463901, dist =1,59 km, arrivalTime =  4,78 min
01.06.2020 19:36:30(01.06.2020 20:43:33 ~ 01.06.2020 21:36:30) > Undelivered Order. ShopID = 599. OrederID = 2470143. Weight = 5,708, Lat = 55,8445424248711, Long = 37,3487433268902, dist =0,40 km, arrivalTime =  1,19 min
01.06.2020 16:52:14(01.06.2020 17:03:30 ~ 01.06.2020 18:52:14) > Undelivered Order. ShopID = 640. OrederID = 2462264. Weight = 4,195, Lat = 55,8060181, Long = 37,6377962, dist =0,38 km, arrivalTime =  1,14 min
01.06.2020 20:33:07(01.06.2020 20:50:49 ~ 01.06.2020 22:33:07) > Undelivered Order. ShopID = 681. OrederID = 2472706. Weight = 4,665, Lat = 55,6038081, Long = 37,5182908, dist =0,36 km, arrivalTime =  1,09 min
01.06.2020 20:19:11(01.06.2020 20:46:48 ~ 01.06.2020 22:19:11) > Undelivered Order. ShopID = 741. OrederID = 2449333. Weight = 8,961, Lat = 55,804852, Long = 37,327106, dist =0,73 km, arrivalTime =  2,19 min
01.06.2020 11:51:04(01.06.2020 12:39:55 ~ 01.06.2020 13:51:04) > Undelivered Order. ShopID = 765. OrederID = 2443791. Weight = 2,403, Lat = 55,884094, Long = 37,417591, dist =0,49 km, arrivalTime =  1,48 min
01.06.2020 14:00:42(01.06.2020 15:08:23 ~ 01.06.2020 16:00:42) > Undelivered Order. ShopID = 765. OrederID = 2452429. Weight = 5,218, Lat = 55,891905098848, Long = 37,4268989, dist =0,76 km, arrivalTime =  2,28 min
01.06.2020 14:07:23(01.06.2020 15:15:30 ~ 01.06.2020 16:07:23) > Undelivered Order. ShopID = 765. OrederID = 2452238. Weight = 3,559, Lat = 55,8888730988479, Long = 37,4220689, dist =0,24 km, arrivalTime =  0,71 min
01.06.2020 18:56:46(01.06.2020 19:20:58 ~ 01.06.2020 20:56:46) > Undelivered Order. ShopID = 765. OrederID = 2467975. Weight = 10,643, Lat = 55,886322, Long = 37,418884, dist =0,21 km, arrivalTime =  0,64 min
01.06.2020 10:32:08(01.06.2020 11:42:08 ~ 01.06.2020 12:32:08) > Undelivered Order. ShopID = 810. OrederID = 2438962. Weight = 9,378, Lat = 55,919296, Long = 37,843894, dist =0,43 km, arrivalTime =  1,30 min
01.06.2020 13:58:01(01.06.2020 14:05:28 ~ 01.06.2020 15:58:01) > Undelivered Order. ShopID = 810. OrederID = 2452332. Weight = 2,643, Lat = 55,915676, Long = 37,808861, dist =3,06 km, arrivalTime =  9,18 min
